,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
739,Xiaomi,Poco M3 4/128GB Black,Android,1116,5372.0,4933.0,6005.0,41,6.53,128.0,6000.0,11-2020
740,Xiaomi,Poco M3 4/64GB Black,Android,1217,4708.0,4270.0,5345.0,34,6.53,64.0,6000.0,11-2020
741,Xiaomi,Poco X3 NFC 6/128GB Cobalt Blue,Android,1222,7152.0,6836.0,7999.0,59,6.67,128.0,5160.0,9-2020
742,Xiaomi,Poco X3 NFC 6/64GB Cobalt Blue,Android,1211,6488.0,6169.0,7499.0,57,6.67,64.0,5160.0,9-2020
743,Xiaomi,Pocophone F1 6/128GB Blue,Android,946,7231.0,6930.0,7999.0,16,6.18,128.0,4000.0,8-2018
744,Tecno,Pop 4 Pro BC3 1/16GB Cosmic Shine,Android,639,2314.0,1999.0,2419.0,18,6.52,16.0,5000.0,11-2020
745,Ulefone,Power 6 4/64GB Black,Android,572,4204.0,3519.0,4520.0,23,6.3,64.0,6350.0,9-2019
746,Ulefone,Power 6 4/64GB Blue,Android,171,4335.0,4118.0,4780.0,12,6.3,64.0,6350.0,9-2019
747,Ulefone,Power 6 4/64GB Red,Android,416,4211.0,3999.0,4520.0,16,6.3,64.0,6350.0,10-2019
748,Ulefone,Power 6 4/64GB Red,Android,406,4211.0,3999.0,4520.0,16,6.3,64.0,6350.0,10-2019
749,realme,Q 6/64GB Blue,Android,244,5957.0,,,1,6.3,64.0,4035.0,3-2020
750,Cubot,Quest 4/64GB Black,Android,13,4099.0,,,1,5.5,64.0,4000.0,2-2020
751,2E,R240 Dual Sim Black,,655,877.0,720.0,1089.0,51,2.4,0.032,2000.0,10-2017
752,Motorola,RAZR 2019 XT200-1 Noir Black,Android,827,22713.0,21550.0,24999.0,3,6.4,128.0,2510.0,4-2020
753,Motorola,RAZR 2019 XT2000-2 Noir Black,Android,972,22760.0,21550.0,28572.0,19,6.2,128.0,2510.0,10-2020
754,ASUS,ROG Phone 3 Strix 12/128GB Black (90AI0031-M00010),Android,973,18618.0,17970.0,19999.0,5,6.59,128.0,6000.0,9-2020
755,ASUS,ROG Phone 3 ZS661KS 12/128GB Black (90AI0032-M00180),Android,1140,18993.0,17589.0,20634.0,7,6.59,128.0,6000.0,9-2020
756,ASUS,ROG Phone 3 ZS661KS 12/256GB Black,Android,1002,21964.0,21377.0,22400.0,5,6.59,256.0,6000.0,9-2020
757,ASUS,ROG Phone 3 ZS661KS 12/512GB Black,Android,1088,28384.0,27299.0,29999.0,11,6.59,512.0,6000.0,9-2020
758,ASUS,ROG Phone 8/512GB DualSim Black,Android,112,17510.0,,,1,6.0,512.0,4000.0,12-2018
759,ASUS,ROG Phone 8/512GB DualSim Black,Android,121,17510.0,,,1,6.0,512.0,4000.0,12-2018
760,ASUS,ROG Phone 8/512GB DualSim Black,Android,162,17510.0,,,1,6.0,512.0,4000.0,12-2018
761,Xiaomi,Redmi 10x 4G 4/128GB Blue,Android,1102,5133.0,4649.0,5600.0,10,6.53,128.0,5020.0,6-2020
762,Xiaomi,Redmi 10x 4G 6/128GB Blue,Android,966,5761.0,5569.0,5999.0,7,6.53,128.0,5020.0,6-2020
763,Xiaomi,Redmi 4x 2/16GB Black,Android,580,2358.0,2353.0,2363.0,2,5.0,16.0,4100.0,3-2017
764,Xiaomi,Redmi 4x 2/16GB Gold,Android,597,2358.0,2353.0,2363.0,2,5.0,16.0,4100.0,3-2017
765,Xiaomi,Redmi 4x 4/64GB Black,Android,1093,2826.0,2775.0,2850.0,4,5.0,64.0,4100.0,8-2017
766,Xiaomi,Redmi 4x 4/64GB Gold,Android,850,2826.0,2775.0,2850.0,4,5.0,64.0,4100.0,7-2017
767,Xiaomi,Redmi 5 3/32GB Black,Android,636,2950.0,,,1,5.7,32.0,3300.0,12-2017
768,Xiaomi,Redmi 5 3/32GB Gold,Android,743,3882.0,2940.0,4427.0,4,5.7,32.0,3300.0,12-2017
769,Xiaomi,Redmi 5 Plus 4/64GB Black,Android,608,3463.0,3458.0,3469.0,2,5.9,64.0,4000.0,12-2017
770,Xiaomi,Redmi 5 Plus 4/64GB Gold,Android,859,4265.0,3458.0,5349.0,4,5.9,64.0,4000.0,12-2017
771,Xiaomi,Redmi 5A 2/16GB Gold,Android,715,2420.0,2150.0,2560.0,2,5.0,16.0,3080.0,10-2017
772,Xiaomi,Redmi 5A 3/32GB Gold,Android,141,2400.0,2350.0,2450.0,2,5.0,32.0,3080.0,4-2018
773,Xiaomi,Redmi 5A 3/32GB Gray,Android,358,2749.0,2350.0,3449.0,3,5.0,32.0,3080.0,4-2018
774,Xiaomi,Redmi 5A 3/32GB Gray,Android,366,2749.0,2350.0,3449.0,3,5.0,32.0,3080.0,4-2018
775,Xiaomi,Redmi 6 3/32GB Black,Android,878,2794.0,2670.0,2877.0,5,5.45,32.0,3000.0,7-2018
776,Xiaomi,Redmi 6 3/32GB Gold,Android,758,2794.0,2670.0,2877.0,5,5.45,32.0,3000.0,6-2018
777,Xiaomi,Redmi 6 3/64GB Black,Android,667,3054.0,,,1,5.45,64.0,3000.0,10-2018
778,Xiaomi,Redmi 6 3/64GB Gold,Android,343,3193.0,3054.0,3333.0,2,5.45,64.0,3000.0,10-2018
779,Xiaomi,Redmi 6 3/64GB Gold,Android,362,3193.0,3054.0,3333.0,2,5.45,64.0,3000.0,10-2018
780,Xiaomi,Redmi 6 4/64GB Black,Android,760,3480.0,2995.0,4654.0,5,5.45,64.0,3000.0,8-2018
781,Xiaomi,Redmi 6 Pro 3/32GB Black,Android,657,3317.0,3233.0,3402.0,2,5.84,32.0,4000.0,7-2018
782,Xiaomi,Redmi 6 Pro 4/64GB Black,Android,733,3627.0,3550.0,3675.0,3,5.84,64.0,4000.0,7-2018
783,Xiaomi,Redmi 7 4/64GB Blue,Android,176,3671.0,3539.0,3785.0,4,6.26,64.0,4000.0,3-2019
784,Xiaomi,Redmi 7 4/64GB Blue,Android,212,3671.0,3539.0,3785.0,4,6.26,64.0,4000.0,3-2019
785,Xiaomi,Redmi 7a 2/16GB Black,Android,435,3248.0,,,1,5.45,16.0,4000.0,7-2019
786,Xiaomi,Redmi 7a 3/32GB Black,Android,999,3468.0,3248.0,3762.0,6,5.45,32.0,4000.0,7-2019
787,Xiaomi,Redmi 8 3/32GB Black,Android,1007,3559.0,3480.0,3599.0,3,6.22,32.0,5000.0,10-2019
788,Xiaomi,Redmi 8 4/64GB Blue,Android,1188,3840.0,3449.0,4286.0,31,6.22,64.0,5000.0,10-2019
789,Xiaomi,Redmi 8A 3/32GB Black,Android,866,3219.0,,,1,6.22,32.0,5000.0,3-2020
790,Xiaomi,Redmi 8A 4/64GB Black,Android,1158,3503.0,3315.0,3950.0,28,6.22,64.0,5000.0,4-2020
791,Xiaomi,Redmi 9 3/32GB Grey NFC,Android,1151,4047.0,3795.0,4854.0,69,6.53,32.0,5020.0,6-2020
792,Xiaomi,Redmi 9 3/32GB Purple no NFC,Android,654,4099.0,3733.0,4840.0,11,6.53,32.0,5020.0,11-2020
793,Xiaomi,Redmi 9 4/128GB Blue (no NFC),Android,367,4960.0,4690.0,5588.0,8,6.53,128.0,5020.0,10-2020
794,Xiaomi,Redmi 9 4/128GB Blue (no NFC),Android,359,4960.0,4690.0,5588.0,8,6.53,128.0,5020.0,10-2020
795,Xiaomi,Redmi 9 4/128GB Green (no NFC),Android,263,4822.0,4740.0,4929.0,3,6.53,128.0,5020.0,10-2020
796,Xiaomi,Redmi 9 4/128GB Green (no NFC),Android,275,4822.0,4740.0,4929.0,3,6.53,128.0,5020.0,10-2020
797,Xiaomi,Redmi 9 4/128GB Grey (no NFC),Android,615,4861.0,4638.0,5238.0,14,6.53,128.0,5020.0,10-2020
798,Xiaomi,Redmi 9 4/128GB Pink (no NFC),Android,748,4846.0,4690.0,5029.0,14,6.53,128.0,5020.0,10-2020
799,Xiaomi,Redmi 9 4/64GB Grey NFC,Android,1206,4492.0,4295.0,5254.0,47,6.53,64.0,5020.0,6-2020
800,Xiaomi,Redmi 9 4/64Gb Pink (no NFC),Android,976,4316.0,4077.0,4745.0,8,6.53,64.0,5020.0,11-2020
